ticker,date,kind,factor_step
DBC,2022-12-19,dividend,0.00598809
DBC,2023-12-18,dividend,0.04683836
DBC,2024-12-23,dividend,0.05067286
DBC,2025-12-22,dividend,0.03256022
HYG,2021-02-01,dividend,0.00365913
HYG,2021-03-01,dividend,0.00354966
HYG,2021-04-01,dividend,0.00336718
HYG,2021-05-03,dividend,0.00336159
HYG,2021-06-01,dividend,0.00333718
HYG,2021-07-01,dividend,0.00331110
HYG,2021-08-02,dividend,0.00322035
HYG,2021-09-01,dividend,0.00312271
HYG,2021-10-01,dividend,0.00330849
HYG,2021-11-01,dividend,0.00318767
HYG,2021-12-01,dividend,0.00328705
HYG,2021-12-16,dividend,0.00341241
HYG,2022-02-01,dividend,0.00360561
HYG,2022-03-01,dividend,0.00367489
HYG,2022-04-01,dividend,0.00405338
HYG,2022-05-02,dividend,0.00388425
HYG,2022-06-01,dividend,0.00386075
HYG,2022-07-01,dividend,0.00447187
HYG,2022-08-01,dividend,0.00388581
HYG,2022-09-01,dividend,0.00491117
HYG,2022-10-03,dividend,0.00491711
HYG,2022-11-01,dividend,0.00381300
HYG,2022-12-01,dividend,0.00421911
HYG,2022-12-15,dividend,0.00523686
HYG,2023-02-01,dividend,0.00482776
HYG,2023-03-01,dividend,0.00603277
HYG,2023-04-03,dividend,0.00452674
HYG,2023-05-01,dividend,0.00432387
HYG,2023-06-01,dividend,0.00476388
HYG,2023-07-03,dividend,0.00536513
HYG,2023-08-01,dividend,0.00473931
HYG,2023-09-01,dividend,0.00466263
HYG,2023-10-02,dividend,0.00522250
HYG,2023-11-01,dividend,0.00533982
HYG,2023-12-01,dividend,0.00454183
HYG,2023-12-14,dividend,0.00490680
HYG,2024-02-01,dividend,0.00495343
HYG,2024-03-01,dividend,0.00566703
HYG,2024-04-01,dividend,0.00508315
HYG,2024-05-01,dividend,0.00524323
HYG,2024-06-03,dividend,0.00464279
HYG,2024-07-01,dividend,0.00524922
HYG,2024-08-01,dividend,0.00520746
HYG,2024-09-03,dividend,0.00478368
HYG,2024-10-01,dividend,0.00486035
HYG,2024-11-01,dividend,0.00498542
HYG,2024-12-02,dividend,0.00451481
HYG,2024-12-18,dividend,0.00515590
HYG,2025-02-03,dividend,0.00451585
HYG,2025-03-03,dividend,0.00467161
HYG,2025-04-01,dividend,0.00484220
HYG,2025-05-01,dividend,0.00510187
HYG,2025-06-02,dividend,0.00472536
