ticker,date,kind,factor_step
BKLN,2011-04-15,dividend,0.00290848
BKLN,2011-05-13,dividend,0.00300965
BKLN,2011-06-15,dividend,0.00309914
BKLN,2011-07-15,dividend,0.00304084
BKLN,2011-08-15,dividend,0.00357419
BKLN,2011-09-15,dividend,0.00365959
BKLN,2011-10-14,dividend,0.00494121
BKLN,2011-11-15,dividend,0.00425804
BKLN,2011-12-15,dividend,0.00487027
BKLN,2012-01-13,dividend,0.00413659
BKLN,2012-02-15,dividend,0.00411994
BKLN,2012-03-15,dividend,0.00411039
BKLN,2012-04-13,dividend,0.00435949
BKLN,2012-05-15,dividend,0.00424475
BKLN,2012-06-15,dividend,0.00410820
BKLN,2012-07-13,dividend,0.00425150
BKLN,2012-08-15,dividend,0.00367911
BKLN,2012-09-14,dividend,0.00363849
BKLN,2012-10-15,dividend,0.00412482
BKLN,2012-11-15,dividend,0.00408053
BKLN,2012-12-14,dividend,0.00391152
BKLN,2013-01-15,dividend,0.00421978
BKLN,2013-02-15,dividend,0.00400234
BKLN,2013-03-15,dividend,0.00380373
BKLN,2013-04-15,dividend,0.00378700
BKLN,2013-05-15,dividend,0.00364165
BKLN,2013-06-14,dividend,0.00361098
BKLN,2013-07-15,dividend,0.00363188
BKLN,2013-08-15,dividend,0.00361779
BKLN,2013-09-13,dividend,0.00334722
BKLN,2013-10-15,dividend,0.00335751
BKLN,2013-11-15,dividend,0.00338983
BKLN,2013-12-13,dividend,0.00338411
BKLN,2014-01-15,dividend,0.00336398
BKLN,2014-02-14,dividend,0.00335230
BKLN,2014-03-14,dividend,0.00332371
BKLN,2014-05-15,dividend,0.00326060
BKLN,2014-06-13,dividend,0.00325993
BKLN,2014-07-15,dividend,0.00330363
BKLN,2014-08-15,dividend,0.00340767
BKLN,2014-09-15,dividend,0.00348925
BKLN,2014-10-15,dividend,0.00369092
BKLN,2014-11-14,dividend,0.00327304
BKLN,2014-12-15,dividend,0.00318933
BKLN,2015-01-15,dividend,0.00313452
BKLN,2015-02-13,dividend,0.00306605
BKLN,2015-03-13,dividend,0.00302363
BKLN,2015-04-15,dividend,0.00302806
BKLN,2015-05-15,dividend,0.00307454
BKLN,2015-06-15,dividend,0.00314642
BKLN,2015-07-15,dividend,0.00318283
BKLN,2015-08-14,dividend,0.00334701
BKLN,2015-09-15,dividend,0.00339899
BKLN,2015-10-15,dividend,0.00346930
BKLN,2015-11-13,dividend,0.00353548
BKLN,2015-12-15,dividend,0.00373755
BKLN,2016-01-15,dividend,0.00374636
BKLN,2016-02-12,dividend,0.00383748
BKLN,2016-03-15,dividend,0.00380398
BKLN,2016-04-15,dividend,0.00393871
BKLN,2016-05-13,dividend,0.00412858
BKLN,2016-06-15,dividend,0.00413084
BKLN,2016-07-15,dividend,0.00420842
BKLN,2016-08-15,dividend,0.00419346
BKLN,2016-09-15,dividend,0.00420426
BKLN,2016-10-14,dividend,0.00354922
BKLN,2016-11-15,dividend,0.00308151
BKLN,2016-12-15,dividend,0.00342493
BKLN,2017-01-13,dividend,0.00299022
BKLN,2017-02-15,dividend,0.00289929
BKLN,2017-03-15,dividend,0.00279118
BKLN,2017-04-13,dividend,0.00277227
BKLN,2017-05-15,dividend,0.00271854
BKLN,2017-06-15,dividend,0.00271775
BKLN,2017-07-14,dividend,0.00277121
BKLN,2017-08-15,dividend,0.00297890
BKLN,2017-09-18,dividend,0.00303027
BKLN,2017-10-23,dividend,0.00301635
BKLN,2017-11-20,dividend,0.00272570
BKLN,2017-12-18,dividend,0.00336231
BKLN,2018-01-22,dividend,0.00284881
BKLN,2018-02-20,dividend,0.00303039
BKLN,2018-03-19,dividend,0.00327290
BKLN,2018-04-23,dividend,0.00309595
BKLN,2018-05-21,dividend,0.00321248
BKLN,2018-06-18,dividend,0.00342874
BKLN,2018-07-23,dividend,0.00346653
BKLN,2018-08-20,dividend,0.00346441
BKLN,2018-09-24,dividend,0.00341224
BKLN,2018-10-22,dividend,0.00347012
BKLN,2018-11-19,dividend,0.00371193
BKLN,2018-12-24,dividend,0.00648116
BKLN,2019-01-22,dividend,0.00407471
BKLN,2019-02-19,dividend,0.00418359
BKLN,2019-03-18,dividend,0.00374878
BKLN,2019-04-22,dividend,0.00397102
BKLN,2019-05-20,dividend,0.00415516
BKLN,2019-06-24,dividend,0.00434316
BKLN,2019-07-22,dividend,0.00428945
BKLN,2019-08-19,dividend,0.00428827
BKLN,2019-09-23,dividend,0.00411132
BKLN,2019-10-21,dividend,0.00401037
BKLN,2019-11-18,dividend,0.00385043
BKLN,2019-12-23,dividend,0.00380515
BKLN,2020-01-21,dividend,0.00367196
BKLN,2020-02-24,dividend,0.00353097
BKLN,2020-03-23,dividend,0.00447374
BKLN,2020-04-20,dividend,0.00364729
BKLN,2020-05-18,dividend,0.00291615
BKLN,2020-06-22,dividend,0.00257072
BKLN,2020-07-20,dividend,0.00260781
BKLN,2020-08-24,dividend,0.00244405
BKLN,2020-09-21,dividend,0.00258080
BKLN,2020-10-19,dividend,0.00275503
BKLN,2020-11-23,dividend,0.00286483
BKLN,2020-12-21,dividend,0.00292021
BKLN,2021-01-19,dividend,0.00289913
BKLN,2021-02-22,dividend,0.00283091
BKLN,2021-03-22,dividend,0.00273576
BKLN,2021-04-19,dividend,0.00259442
BKLN,2021-05-24,dividend,0.00244172
BKLN,2021-06-21,dividend,0.00243766
BKLN,2021-07-19,dividend,0.00241164
BKLN,2021-08-23,dividend,0.00246363
BKLN,2021-09-20,dividend,0.00249716
BKLN,2021-10-18,dividend,0.00254997
BKLN,2021-11-22,dividend,0.00256395
BKLN,2021-12-20,dividend,0.00254611
BKLN,2022-01-24,dividend,0.00259090
BKLN,2022-02-22,dividend,0.00264524
BKLN,2022-03-21,dividend,0.00268535
BKLN,2022-04-18,dividend,0.00272729
BKLN,2022-05-23,dividend,0.00292887
BKLN,2022-06-21,dividend,0.00319849
BKLN,2022-07-18,dividend,0.00343880
BKLN,2022-08-22,dividend,0.00371600
BKLN,2022-09-19,dividend,0.00415566
BKLN,2022-10-24,dividend,0.00467395
BKLN,2022-11-21,dividend,0.00548137
BKLN,2022-12-19,dividend,0.00986961
BKLN,2023-01-23,dividend,0.00577937
BKLN,2023-02-21,dividend,0.00622006
BKLN,2023-03-20,dividend,0.00668420
BKLN,2023-04-24,dividend,0.00686129
